n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
11,1181,3,2472,60.0,"{'543': 1, '544': 2, '542': 8}",1,0,1858,2472,Arino Centro,12.049426,45.43898,12.046218,45.442375,12.049426,45.43898
15,2476,3,2473,60.0,"{'532': 1, '531': 1, '543': 1, '463': 1, '544': 2, '542': 8, '465': 1}",1,0,1859,2473,Civico 203,12.047221,45.45311,12.038576,45.454746,12.047221,45.45311
17,1180,3,2474,120.0,"{'531': 1, '546': 1, '547': 13, '548': 1, '530': 1}",1,0,1860,2474,Civico 203,12.047229,45.452881,12.045788,45.442768,12.047229,45.452881
5,2486,3,2474,120.0,"{'526': 1, '470': 1, '472': 1, '469': 1, '473': 1}",1,0,1860,2474,Civico 203,12.047229,45.452881,12.052288,45.461864,12.047229,45.452881
22,2474,3,2475,60.0,"{'526': 1, '547': 13, '546': 1, '470': 1, '473': 1, '469': 1, '531': 1, '472': 1, '548': 1, '530': 1}",1,0,1861,2475,Civico 165,12.038601,45.45454,12.047229,45.452881,12.038601,45.45454
15,2477,3,2476,60.0,"{'532': 1, '531': 1, '543': 1, '463': 1, '544': 2, '542': 8, '465': 1}",1,0,1862,2476,Civico 165,12.038576,45.454746,12.030178,45.456375,12.038576,45.454746
3,187,3,2477,320.0,"{'543': 1, '544': 2}",1,0,1863,2477,Pianiga Centro,12.030178,45.456375,12.029926,45.477234,12.030178,45.456375
12,2479,3,2477,75.0,"{'465': 1, '531': 1, '542': 8, '463': 1, '532': 1}",1,0,1863,2477,Pianiga Centro,12.030178,45.456375,12.021329,45.45697,12.030178,45.456375
22,2475,3,2478,60.0,"{'526': 1, '547': 13, '546': 1, '470': 1, '473': 1, '469': 1, '531': 1, '472': 1, '548': 1, '530': 1}",1,0,1864,2478,Pianiga Centro,12.030021,45.45599,12.038601,45.45454,12.030021,45.45599
15,2482,3,2479,64.0,"{'532': 1, '531': 1, '543': 1, '463': 1, '544': 2, '542': 8, '465': 1}",1,0,1865,2479,Incr. via Rivale,12.021329,45.45697,12.012517,45.456173,12.021329,45.45697
21,2478,3,2480,60.0,"{'526': 1, '547': 13, '546': 1, '470': 1, '473': 1, '469': 1, '531': 1, '472': 1, '530': 1}",1,0,1866,2480,Incr. via Roma,12.021542,45.457039,12.030021,45.45599,12.021542,45.457039
