n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
94,2,4,78,180.0,"{'151': 6, '150': 31, '104': 3, '147': 39, '102': 3, '148': 4, '103': 2, '149': 6}",0,1,65,78,Sacca Fisola DX,12.315648,45.429008,12.320824,45.430534,12.315648,45.429008
43,35,4,78,180.0,"{'58': 2, '52': 3, '56': 34, '57': 4}",0,1,65,78,Sacca Fisola DX,12.315648,45.429008,12.325401,45.426899,12.315648,45.429008
96,125,4,79,120.0,"{'141': 39, '144': 2, '110': 1, '107': 4, '142': 12, '108': 3, '109': 4, '143': 31}",0,1,66,79,Tronchetto 'B' SX,12.306348,45.440094,12.309408,45.441383,12.306348,45.440094
94,78,4,80,474.8936170212766,"{'151': 6, '150': 31, '104': 3, '147': 39, '102': 3, '148': 4, '103': 2, '149': 6}",0,1,67,80,Tronchetto 'B'  DX,12.306533,45.440308,12.315648,45.429008,12.306533,45.440308
24,17,4,81,2100.0,{'43': 24},0,1,68,81,Tronchetto N/T,12.303988,45.438023,12.378331,45.425873,12.303988,45.438023
38,56,4,82,240.0,"{'97': 18, '87': 6, '88': 1, '90': 2, '98': 1, '71': 2, '99': 6, '70': 2}",0,1,69,82,"P.le Roma (Scomenzera) ""C",12.317839,45.43985,12.321736,45.440685,12.317839,45.43985
3,8,4,82,240.0,{'89': 3},0,1,69,82,"P.le Roma (Scomenzera) ""C",12.317839,45.43985,12.321242,45.440216,12.317839,45.43985
136,73,4,83,360.0,"{'77': 7, '80': 2, '91': 35, '56': 34, '76': 21, '74': 10, '58': 2, '73': 8, '52': 3, '75': 4, '79': 3, '78': 3, '57': 4}",0,1,70,83,"P.le Roma (Parisi) ""E""",12.318463,45.439388,12.31126,45.433571,12.318463,45.439388
8,102,4,83,840.0,{'92': 8},0,1,70,83,"P.le Roma (Parisi) ""E""",12.318463,45.439388,12.32628,45.42926,12.318463,45.439388
82,57,4,84,180.0,"{'4': 7, '2': 69, '3': 6}",0,1,71,84,"P.le Roma (Parisi) ""D""",12.318337,45.439556,12.32088,45.439873,12.318337,45.439556
